date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-06-26 00:00:00,3.0,2.0,1700,11475,1.0,0,0,5,970,730,1945,0,238 SW 132nd St,Burien,WA 98146,USA
2014-07-08 00:00:00,3.0,2.0,1550,6039,1.0,0,0,5,830,720,1942,0,6537 36th Ave SW,Seattle,WA 98126,USA
2014-07-03 00:00:00,3.0,1.0,1390,4814,1.5,0,0,3,1390,0,1908,1988,8116 8th Ave NE,Seattle,WA 98115,USA
2014-05-16 00:00:00,5.0,2.75,2830,5310,2.0,0,0,3,2830,0,2006,0,11931 179th Pl NE,Redmond,WA 98052,USA
2014-06-26 00:00:00,3.0,2.0,1470,20000,1.0,0,0,4,1470,0,1968,0,19627 SE Auburn-Black Diamond Rd,Auburn,WA 98092,USA
2014-06-24 00:00:00,4.0,1.75,1540,5120,1.0,0,0,5,770,770,1943,0,7350 31st Ave SW,Seattle,WA 98126,USA
2014-05-10 00:00:00,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA
2014-05-21 00:00:00,3.0,2.5,2420,49928,2.0,0,0,3,1860,560,1985,0,24998 SE 155th Pl,Issaquah,WA 98027,USA
2014-05-05 00:00:00,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA
2014-06-16 00:00:00,4.0,2.5,2650,5600,2.0,0,0,3,2650,0,2014,0,13516 164th Ave SE,Renton,WA 98059,USA
2014-05-11 00:00:00,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902,0,906 17th Ave,Seattle,WA 98122,USA
2014-05-23 00:00:00,4.0,2.5,2560,36601,2.0,0,0,4,2560,0,1987,0,26007 SE 27th St,Sammamish,WA 98075,USA
2014-05-07 00:00:00,4.0,2.0,2210,8556,1.0,0,1,4,1210,1000,1954,1979,3235 30th Ave W,Seattle,WA 98199,USA
2014-05-31 00:00:00,3.0,2.5,2460,12028,2.0,0,0,3,2460,0,1996,0,Valley View Trail,Redmond,WA 98052,USA
2014-05-20 00:00:00,4.0,2.5,2800,8494,2.0,0,0,3,2800,0,2004,2003,24957 SE 279th St,Maple Valley,WA 98038,USA
2014-06-25 00:00:00,2.0,1.0,1060,3036,1.5,0,0,4,1060,0,1943,0,4202 4th Ave NE,Seattle,WA 98105,USA
2014-06-19 00:00:00,4.0,2.75,3010,15992,2.0,0,0,3,3010,0,1996,0,25916 SE 22nd Pl,Sammamish,WA 98075,USA
2014-07-02 00:00:00,5.0,6.25,8020,21738,2.0,0,0,3,8020,0,2001,0,2 Crescent Key,Bellevue,WA 98006,USA
2014-06-20 00:00:00,3.0,2.0,1510,7884,1.0,0,0,3,1510,0,1942,2014,1015 SW 150th St,Burien,WA 98166,USA
2014-06-25 00:00:00,3.0,2.0,2110,18815,2.0,0,0,5,2110,0,1979,0,2942 222nd Pl SE,Sammamish,WA 98075,USA
2014-06-17 00:00:00,3.0,2.5,1180,1262,3.0,0,0,3,1180,0,2010,0,2050 14th Ave W,Seattle,WA 98119,USA
2014-05-07 00:00:00,3.0,2.5,1600,3573,2.0,0,0,3,1600,0,2013,1923,2821 NE 16th St,Renton,WA 98056,USA
2014-06-23 00:00:00,2.0,1.5,940,1768,2.0,0,0,3,940,0,2009,0,1124 29th Ave S,Seattle,WA 98144,USA
2014-07-02 00:00:00,5.0,2.25,2570,13054,1.0,0,1,3,1470,1100,1950,1992,1316 SW 172nd St,Normandy Park,WA 98166,USA
2014-06-06 00:00:00,3.0,1.75,1910,12596,1.0,0,0,3,1340,570,1977,2004,15505 180 Ave NE,Woodinville,WA 98072,USA
2014-06-06 00:00:00,3.0,1.75,1370,9900,1.0,0,0,4,1370,0,1983,0,99 17th Ave,Milton,WA 98354,USA
2014-05-29 00:00:00,2.0,1.0,1110,26051,1.0,0,0,3,1110,0,1951,1994,3218 S 148th St,SeaTac,WA 98168,USA
2014-06-17 00:00:00,3.0,2.0,1730,9000,1.0,0,0,3,1370,360,1978,0,975-1005 Greenwood Blvd SW,Issaquah,WA 98027,USA
2014-05-05 00:00:00,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA
2014-07-08 00:00:00,3.0,2.0,960,9380,1.0,0,0,3,960,0,1949,1998,13045 6th Pl SW,Seattle,WA 98146,USA
2014-06-26 00:00:00,3.0,1.5,2380,14500,1.0,0,0,4,1850,530,1961,2001,6340 NE 196th St,Kenmore,WA 98028,USA
2014-07-06 00:00:00,2.0,1.75,1990,4000,1.0,0,0,5,1090,900,1952,1998,8215 Stone Ave N,Seattle,WA 98103,USA
2014-05-22 00:00:00,4.0,2.75,2410,6000,1.0,0,0,5,1410,1000,1950,0,3210 NW 58th St,Seattle,WA 98107,USA
2014-06-23 00:00:00,3.0,1.75,1230,9600,1.0,0,0,4,1230,0,1984,0,26119 185th Pl SE,Covington,WA 98042,USA
2014-05-13 00:00:00,7.0,4.0,3440,8100,2.0,0,0,3,3440,0,1970,2014,718 N 95th St,Seattle,WA 98103,USA
2014-05-13 00:00:00,3.0,1.75,1090,7200,1.0,0,0,3,1090,0,1968,1997,12033 NE 136th Pl,Kirkland,WA 98034,USA
2014-06-09 00:00:00,2.0,1.0,1200,9000,1.0,0,2,5,1200,0,1917,0,22018 8th Pl S,Des Moines,WA 98198,USA
2014-05-12 00:00:00,4.0,2.5,2780,6369,1.0,0,0,3,1590,1190,1978,0,9311 NE 142nd St,Kirkland,WA 98034,USA
2014-06-18 00:00:00,4.0,2.5,3640,10576,2.0,0,0,3,3640,0,1999,0,26966 SE 22nd Way,Sammamish,WA 98075,USA
2014-06-11 00:00:00,4.0,2.5,3170,10688,2.0,0,2,3,3170,0,2001,0,1118 U St NW,Auburn,WA 98001,USA
2014-06-19 00:00:00,4.0,1.5,1220,9600,1.0,0,0,3,1220,0,1980,0,4201 Regal St,Carnation,WA 98014,USA
2014-05-27 00:00:00,3.0,2.5,1658,2700,2.0,0,0,3,1658,0,2014,0,2150 S 262nd Ct,Des Moines,WA 98198,USA
2014-05-16 00:00:00,3.0,2.25,1410,1377,2.0,0,0,3,1290,120,2005,0,2012 NW Boulder Way Dr,Issaquah,WA 98027,USA
2014-05-23 00:00:00,1.0,0.75,820,59677,1.0,0,0,3,820,0,1999,0,7608 N Fork Rd SE,Snoqualmie,WA 98065,USA
2014-05-07 00:00:00,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,2003,0,232nd Way,Redmond,WA 98053,USA
2014-05-26 00:00:00,3.0,2.0,2130,35169,1.0,0,0,4,2130,0,1989,0,16704 162nd Ave NE,Woodinville,WA 98072,USA
2014-05-16 00:00:00,3.0,2.25,1440,7673,1.0,0,0,3,940,500,1982,0,22119 123rd Ave SE,Kent,WA 98031,USA
2014-05-18 00:00:00,3.0,2.5,2130,3500,1.0,0,0,4,1210,920,1994,0,13440 NE 148th St,Woodinville,WA 98072,USA
2014-06-23 00:00:00,3.0,1.75,1580,8820,1.0,0,0,4,1580,0,1967,0,31711 7th Pl S,Federal Way,WA 98003,USA
2014-05-31 00:00:00,3.0,2.5,1960,3480,2.0,0,0,3,1960,0,2004,2003,2826 Access Rd,Renton,WA 98056,USA
2014-05-28 00:00:00,4.0,2.5,2360,4367,2.0,0,0,3,2360,0,2003,0,12977 NE 201st St,Woodinville,WA 98072,USA
2014-06-23 00:00:00,3.0,2.5,2430,15264,2.0,0,0,3,2430,0,1997,0,9226 S 247th Pl,Kent,WA 98030,USA
2014-06-20 00:00:00,4.0,1.75,2050,10920,1.0,0,3,3,1450,600,1974,0,3860 NE 157th Pl,Lake Forest Park,WA 98155,USA
2014-05-07 00:00:00,2.0,1.0,760,3001,1.0,0,0,3,760,0,1913,1983,1761 17th Ave S,Seattle,WA 98144,USA
2014-06-02 00:00:00,3.0,2.25,2610,9002,2.0,0,0,3,2610,0,1988,2000,10090 177th Ave NE,Redmond,WA 98052,USA
2014-05-23 00:00:00,4.0,4.0,2290,6250,1.5,0,0,5,1690,600,1940,0,2319 41st Ave SW,Seattle,WA 98116,USA
2014-05-05 00:00:00,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
2014-05-05 00:00:00,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA
2014-06-20 00:00:00,1.0,0.75,380,15000,1.0,0,0,3,380,0,1963,2008,13602 8th Ave S,Burien,WA 98168,USA
2014-06-11 00:00:00,3.0,2.0,1640,7201,1.0,0,0,3,1640,0,1948,1994,12711 37th Ave NE,Seattle,WA 98125,USA
2014-06-05 00:00:00,3.0,1.0,1430,3840,1.0,0,0,3,950,480,1945,2010,7550 19th Ave NW,Seattle,WA 98117,USA
2014-06-26 00:00:00,3.0,1.5,1660,15600,2.0,0,0,3,1660,0,1981,2013,38205 45th Ave S,Auburn,WA 98001,USA
2014-05-20 00:00:00,4.0,2.5,1860,6687,1.0,0,0,4,1220,640,1983,0,22027 117th Ave SE,Kent,WA 98031,USA
2014-05-08 00:00:00,2.0,1.0,1060,4960,1.0,0,0,3,1060,0,1926,2003,8230 Corliss Ave N,Seattle,WA 98103,USA
2014-05-09 00:00:00,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,2007,0,33001 NE 24th St,Carnation,WA 98014,USA
2014-07-09 00:00:00,4.0,2.5,1660,8063,1.0,0,0,4,1660,0,1978,2000,25139 11th Ave S,Des Moines,WA 98198,USA
2014-06-02 00:00:00,4.0,2.5,1920,8497,2.0,0,0,3,1920,0,1998,2006,5307-5311 Quincy Ave SE,Auburn,WA 98092,USA
2014-05-04 00:00:00,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA
2014-06-04 00:00:00,2.0,1.75,1500,6800,1.0,0,0,4,910,590,1942,1982,9702 12th Ave NW,Seattle,WA 98117,USA
2014-06-26 00:00:00,4.0,3.5,3990,5267,2.0,0,0,3,3990,0,2008,0,16141 SE 45th Pl,Bellevue,WA 98006,USA
2014-05-02 00:00:00,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA
2014-06-18 00:00:00,3.0,2.5,2420,43177,2.0,0,4,4,1690,730,1989,0,4280 E Lake Sammamish Pkwy SE,Sammamish,WA 98075,USA
2014-06-26 00:00:00,3.0,3.25,3740,136915,2.5,0,0,3,3100,640,1990,2009,16469 Marine View Dr SW,Burien,WA 98166,USA
2014-07-08 00:00:00,4.0,3.75,4740,126759,2.0,0,0,4,4740,0,1991,0,27125-27131 SE 175th Pl,Issaquah,WA 98027,USA
2014-07-01 00:00:00,3.0,1.0,1090,10710,1.0,0,0,4,1090,0,1962,0,1048 Redmond Ave NE,Renton,WA 98056,USA
2014-05-27 00:00:00,3.0,2.5,2330,1987,2.0,0,4,3,1410,920,2004,2003,6123 37th Ave NW,Seattle,WA 98107,USA
2014-05-07 00:00:00,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,1961,2001,11105 126th Ave NE,Kirkland,WA 98033,USA
2014-05-14 00:00:00,3.0,1.75,1340,7473,1.0,0,0,4,1340,0,1973,0,16 R Pl NE,Auburn,WA 98002,USA
2014-06-10 00:00:00,5.0,2.25,1970,15247,1.0,0,0,3,1450,520,1986,0,4309 327th Pl SE,Fall City,WA 98024,USA
2014-06-13 00:00:00,4.0,3.0,2440,9600,2.0,0,0,5,2440,0,1961,0,11611 106th Ave NE,Kirkland,WA 98034,USA
2014-06-28 00:00:00,2.0,1.75,1910,3376,2.0,0,0,3,1910,0,1980,0,213th Ave SE,Maple Valley,WA 98038,USA
2014-05-05 00:00:00,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA
2014-07-02 00:00:00,3.0,2.0,1110,7231,1.0,0,0,4,1110,0,1991,0,22124 112th Pl SE,Kent,WA 98031,USA
2014-05-29 00:00:00,4.0,2.0,2240,7725,1.0,0,0,5,1120,1120,1956,0,2503 SW Portland Ct,Seattle,WA 98106,USA
2014-06-03 00:00:00,3.0,3.0,2080,10521,1.5,0,0,3,2080,0,2004,2003,8359 NE Juanita Dr,Kirkland,WA 98034,USA
2014-06-19 00:00:00,3.0,2.0,1790,42399,1.0,0,0,4,1790,0,1990,0,15611 SE 322nd Pl,Auburn,WA 98092,USA
2014-07-10 00:00:00,2.0,2.5,2410,102366,1.0,0,0,4,1940,470,1912,1989,31600-31726 SE Issaquah-Fall City Rd,Fall City,WA 98024,USA
2014-05-14 00:00:00,5.0,3.0,2257,10117,1.0,0,0,3,1363,894,2005,0,3755 S 168th St,SeaTac,WA 98188,USA
2014-05-13 00:00:00,6.0,3.0,2890,2370,2.5,0,0,3,2290,600,1906,2014,420 Boylston Ave E,Seattle,WA 98102,USA
2014-06-23 00:00:00,3.0,1.75,1840,8086,1.0,0,0,4,1840,0,1964,0,13820 NE 72nd Pl,Redmond,WA 98052,USA
2014-06-10 00:00:00,3.0,1.75,2290,14800,1.0,0,0,3,1620,670,1965,1993,5319 NE 201st Pl,Lake Forest Park,WA 98155,USA
2014-07-01 00:00:00,4.0,2.5,2600,7200,2.0,0,0,3,2600,0,1962,2002,9041 49th Ave NE,Seattle,WA 98115,USA
2014-05-22 00:00:00,4.0,2.75,2080,4000,1.5,0,0,3,2080,0,1912,2000,6042 Sycamore Ave NW,Seattle,WA 98107,USA
2014-05-22 00:00:00,4.0,2.5,3030,12590,1.5,0,0,4,3030,0,1988,0,3255 111th Ave SE,Bellevue,WA 98004,USA
2014-06-24 00:00:00,3.0,2.0,2540,4750,1.5,0,0,5,1840,700,1930,0,7524 34th Ave NW,Seattle,WA 98117,USA
2014-06-05 00:00:00,4.0,2.25,2210,7665,2.0,0,0,4,2210,0,1968,0,12807 SE 67th St,Bellevue,WA 98006,USA
2014-06-05 00:00:00,4.0,1.75,2000,6032,1.0,0,2,3,1300,700,1959,1989,4404 SW 101st St,Seattle,WA 98146,USA
2014-06-24 00:00:00,3.0,2.5,2070,4132,2.0,0,0,3,2070,0,1999,0,463 243rd Pl SE,Sammamish,WA 98074,USA
2014-05-05 00:00:00,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA
2014-06-02 00:00:00,3.0,2.25,1410,1290,2.0,0,0,3,1290,120,2004,2003,2134 NW Boulder Way Dr,Issaquah,WA 98027,USA
2014-06-26 00:00:00,5.0,3.0,4480,5000,2.5,0,0,5,3420,1060,1902,0,923 14th Ave E,Seattle,WA 98112,USA
2014-05-21 00:00:00,1.0,1.0,960,40946,1.0,0,0,5,960,0,1945,0,10815 E Lake Joy Dr NE,Carnation,WA 98014,USA
2014-06-24 00:00:00,4.0,3.25,3090,9571,2.0,0,0,3,2370,720,2004,2003,11719 157th Ave NE,Redmond,WA 98052,USA
2014-06-27 00:00:00,6.0,4.0,3120,4240,2.0,0,2,4,2090,1030,1993,0,7945 14th Ave SW,Seattle,WA 98106,USA
2014-05-28 00:00:00,2.0,1.0,1320,8865,1.0,0,0,4,1320,0,1943,0,2496-2598 S 121st St,Burien,WA 98168,USA
2014-06-10 00:00:00,4.0,1.0,1150,8184,1.5,0,0,3,1150,0,1947,2012,15562 9th Ave NE,Shoreline,WA 98155,USA
2014-05-30 00:00:00,2.0,1.0,1000,4776,1.0,0,0,4,1000,0,1942,1982,4557 14th Ave S,Seattle,WA 98108,USA
2014-05-05 00:00:00,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
2014-07-09 00:00:00,3.0,1.0,1200,7800,1.0,0,0,4,1200,0,1954,1979,9246 30th Ave SW,Seattle,WA 98126,USA
2014-06-03 00:00:00,3.0,2.5,1970,4036,2.0,0,0,4,1970,0,2003,0,35317 SE Ridge St,Snoqualmie,WA 98065,USA
2014-05-28 00:00:00,2.0,1.0,1080,4000,1.0,0,0,3,1080,0,1940,1996,8351 Jones Ave NW,Seattle,WA 98117,USA
2014-07-09 00:00:00,5.0,2.75,2550,7725,1.0,0,0,5,1390,1160,1967,0,12570 SE 72nd St,Newcastle,WA 98056,USA
2014-06-04 00:00:00,4.0,2.0,2120,8701,1.5,0,0,4,2120,0,1960,2001,2006 S 257th St,Des Moines,WA 98198,USA
2014-06-19 00:00:00,4.0,2.5,3280,209088,2.0,0,0,3,3280,0,1994,0,5310 236th Ave NE,Redmond,WA 98053,USA
2014-06-05 00:00:00,3.0,1.75,2340,4206,1.0,0,0,5,1170,1170,1917,0,2955 36th Ave S,Seattle,WA 98144,USA
2014-05-16 00:00:00,2.0,1.0,870,6150,1.0,0,0,3,870,0,1941,1994,8627 9th Ave SW,Seattle,WA 98106,USA
2014-05-20 00:00:00,5.0,3.5,4460,2975,3.0,0,2,3,3280,1180,2013,1923,1400 10th Ave W,Seattle,WA 98119,USA
2014-05-07 00:00:00,2.0,1.0,820,2723,1.0,0,0,3,820,0,1921,2000,4602 Woodlawn Ave N,Seattle,WA 98103,USA
2014-06-25 00:00:00,3.0,2.5,1620,7686,2.0,0,0,3,1620,0,1989,0,21635 SE 268th St,Maple Valley,WA 98038,USA
2014-07-08 00:00:00,4.0,2.5,2560,4020,2.0,0,0,3,2560,0,2006,0,27645 236th Ct SE,Maple Valley,WA 98038,USA
2014-05-15 00:00:00,4.0,2.5,3950,10856,3.0,0,0,3,3950,0,2013,1923,25707 SE 30th St,Sammamish,WA 98075,USA
2014-06-03 00:00:00,2.0,1.0,1170,10621,1.0,0,0,3,1170,0,1963,2008,507 Janet Ave NE,North Bend,WA 98045,USA
2014-06-02 00:00:00,3.0,2.5,2680,7836,2.0,0,0,3,2680,0,1990,2009,31456 117th Pl SE,Auburn,WA 98092,USA
2014-05-23 00:00:00,4.0,3.0,3680,5854,1.0,0,3,3,2060,1620,1967,2011,1414 Magnolia Blvd W,Seattle,WA 98199,USA
2014-06-13 00:00:00,4.0,2.5,2220,5338,2.0,0,0,3,2220,0,2001,0,5127 NE 4th Pl,Renton,WA 98059,USA
2014-06-19 00:00:00,6.0,2.0,1670,3000,1.0,0,0,5,900,770,1911,1984,4718 11th Ave NE,Seattle,WA 98105,USA
2014-06-13 00:00:00,3.0,2.5,2860,4442,2.0,0,0,3,2860,0,2000,0,4432 30th Ave W,Seattle,WA 98199,USA
2014-05-06 00:00:00,3.0,1.5,800,8850,1.0,0,0,4,800,0,1959,0,1003 SW 307th St,Federal Way,WA 98023,USA
2014-07-02 00:00:00,3.0,2.5,2242,4500,2.0,0,0,3,2242,0,2014,0,Bennett Ave SE,Auburn,WA 98092,USA
2014-05-30 00:00:00,3.0,2.25,1590,11745,1.0,0,0,3,1090,500,1978,0,27523-27527 43rd Ave S,Auburn,WA 98001,USA
2014-05-09 00:00:00,3.0,2.5,2030,6970,2.0,0,0,4,2030,0,1991,0,3913 255th Pl SE,Issaquah,WA 98029,USA
2014-06-23 00:00:00,2.0,1.0,880,6413,1.0,0,0,3,880,0,1950,2005,3429 49th Ave SW,Seattle,WA 98116,USA
2014-06-24 00:00:00,5.0,2.75,3831,13800,2.0,1,4,3,3831,0,1959,1980,6208 SE 22nd St,Mercer Island,WA 98040,USA
2014-05-28 00:00:00,3.0,2.0,1300,3731,1.0,0,0,3,900,400,1993,0,7250 Rainier Ave S,Seattle,WA 98118,USA
2014-06-04 00:00:00,3.0,3.25,4720,32467,2.0,0,2,3,3190,1530,1998,2006,10510 172nd Ct SE,Renton,WA 98059,USA
2014-05-23 00:00:00,3.0,1.0,1700,8645,1.0,0,0,3,1700,0,1955,2005,12701 2nd Ave SW,Seattle,WA 98146,USA
2014-06-20 00:00:00,4.0,2.25,2450,21000,1.0,0,2,4,1650,800,1954,1979,16406 8th Ave SW,Burien,WA 98166,USA
2014-05-28 00:00:00,2.0,3.25,1400,1243,3.0,0,0,3,1400,0,2000,0,3648 Francis Ave N,Seattle,WA 98103,USA
2014-07-09 00:00:00,4.0,1.5,1840,11367,1.5,0,0,4,1840,0,1950,1983,18820 1st Ave NW,Shoreline,WA 98177,USA
2014-05-09 00:00:00,4.0,2.25,2430,32496,1.0,0,0,3,2430,0,1993,0,18616 215th Way NE,Woodinville,WA 98077,USA
2014-06-23 00:00:00,5.0,3.25,2910,5027,2.0,0,0,3,2040,870,2013,1923,1920C SW Brandon St,Seattle,WA 98106,USA
2014-05-02 00:00:00,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA
2014-05-20 00:00:00,4.0,3.0,2800,9764,2.0,0,0,3,2800,0,2002,0,24729 SE 276th Pl,Maple Valley,WA 98038,USA
2014-05-28 00:00:00,3.0,1.75,1400,4000,1.0,0,0,3,870,530,1951,1994,8520 19th Ave NW,Seattle,WA 98117,USA
2014-05-27 00:00:00,3.0,2.5,1440,7741,1.0,0,0,4,1000,440,1983,0,11009 SE 220th Pl,Kent,WA 98031,USA
2014-05-09 00:00:00,4.0,2.5,1930,9653,1.0,0,0,4,1930,0,1968,0,29612 2nd Ave SW,Federal Way,WA 98023,USA
2014-05-08 00:00:00,3.0,1.75,1460,7700,1.0,0,0,3,1460,0,1979,2014,15917 NE 109th Way,Redmond,WA 98052,USA
2014-06-10 00:00:00,4.0,2.0,1630,10375,1.0,0,0,5,1630,0,1968,0,17602 197th Pl NE,Woodinville,WA 98077,USA
2014-05-16 00:00:00,2.0,1.0,910,3600,1.0,0,0,4,910,0,1909,1989,1617-1621 3rd Ave W,Seattle,WA 98119,USA
2014-07-02 00:00:00,3.0,2.5,2490,23891,2.0,0,0,3,2490,0,1993,0,23203 NE 78th Way,Redmond,WA 98053,USA
2014-06-13 00:00:00,3.0,1.0,1280,8184,1.5,0,0,4,1280,0,1947,1988,16225 10th Ave NE,Shoreline,WA 98155,USA
2014-06-11 00:00:00,2.0,1.5,1295,1093,2.0,0,0,3,1105,190,2007,0,2514 E Denny Way,Seattle,WA 98122,USA
